               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.026289,           0.0094672,           0.0086969,             0.92785,             0.90808,             0.94345,             0.73629,            0.018418,           0.0039236,           0.0053251,            0.002476,            0.002476,            0.002476
                  78,            0.026213,           0.0094369,           0.0089026,             0.93368,             0.90029,             0.95027,             0.73522,            0.018775,           0.0039169,           0.0053995,            0.002377,            0.002377,            0.002377
                  79,            0.026091,           0.0094179,           0.0091347,             0.93135,             0.92516,             0.95536,             0.73314,            0.018695,           0.0038882,           0.0054185,            0.002278,            0.002278,            0.002278
                  80,            0.025817,            0.009303,           0.0081046,             0.94448,             0.91259,             0.95783,             0.74685,             0.01866,           0.0038403,           0.0048684,            0.002179,            0.002179,            0.002179
                  81,            0.025897,           0.0094026,           0.0082961,               0.921,             0.93017,             0.95604,             0.74463,            0.018466,           0.0038494,           0.0050848,             0.00208,             0.00208,             0.00208
                  82,            0.025687,           0.0093627,           0.0087593,              0.9375,             0.92192,             0.95618,             0.74162,            0.018251,           0.0038593,           0.0054298,            0.001981,            0.001981,            0.001981
                  83,            0.025801,           0.0091715,           0.0083493,             0.94226,             0.91422,              0.9528,             0.75765,            0.017929,           0.0038955,           0.0059516,            0.001882,            0.001882,            0.001882
                  84,            0.025451,           0.0093238,           0.0077624,             0.94084,             0.92001,             0.95333,             0.75237,            0.018349,           0.0038473,           0.0059276,            0.001783,            0.001783,            0.001783
                  85,            0.025108,             0.00916,            0.007801,             0.93628,             0.90034,             0.94834,             0.75174,            0.018037,           0.0038048,            0.005496,            0.001684,            0.001684,            0.001684
                  86,            0.025041,           0.0090604,           0.0080961,             0.95467,             0.91569,             0.95967,             0.75781,            0.017993,           0.0038426,           0.0053108,            0.001585,            0.001585,            0.001585
